MODEL,test_idx,QED,SA,gen_dock_aff
DeepICL,1,0.6207230516541984,0.7622,-6.92732
DeepICL,2,0.6367091782033542,0.7752,-7.31448
DeepICL,3,0.6547679386506916,0.8130208333333333,-5.224749999999999
DeepICL,4,0.6233041118263043,0.802,-7.24839
DeepICL,5,0.6055278161247419,0.7617,-10.95702
DeepICL,6,0.45914115828556845,0.7903,-5.8223
DeepICL,7,0.6415758623287953,0.8119,-7.97092
DeepICL,8,0.5728983406103251,0.7590625000000001,-0.9174479166666667
DeepICL,9,0.6639515779910024,0.8184999999999999,-6.78914
DeepICL,10,0.5025805474727875,0.7151000000000001,-5.4314599999999995
DeepICL,11,0.5503927261131843,0.7415999999999999,-7.76333
DeepICL,12,0.5303199507698827,0.7336458333333334,-6.790041666666667
DeepICL,13,0.6691121633449448,0.7708080808080808,-8.466333333333333
DeepICL,14,0.5766054284260593,0.7973,-6.20247
DeepICL,15,0.6420347611137218,0.8509,-5.10909
DeepICL,16,0.6473216069558932,0.8067,-6.5104999999999995
DeepICL,17,0.6505473608430961,0.8146,-7.42644
DeepICL,18,0.6339577902491451,0.7844791666666667,-7.6213750000000005
DeepICL,19,0.4760094005182421,0.7134999999999999,-6.0599
DeepICL,20,0.6544028740010636,0.7733,-7.38668
DeepICL,21,0.5669743845462716,0.8081,-3.12778
DeepICL,22,0.5546852481421557,0.7858163265306123,-8.199826530612244
DeepICL,23,0.6158352695829782,0.8502,-7.5901
DeepICL,24,0.7074953040724078,0.8291919191919193,-6.875242424242424
DeepICL,25,0.5362106503579693,0.7413,-8.985289999999999
DeepICL,26,0.6358441290692912,0.749381443298969,-8.228360824742268
DeepICL,27,0.5783169696035619,0.7916494845360825,-7.174773195876289
DeepICL,28,0.5595748571258288,0.7512087912087912,-6.797956043956044
DeepICL,29,0.6361856702628228,0.8534,-5.4896199999999995
DeepICL,30,0.658238157487933,0.8045454545454546,-6.26550505050505
DeepICL,31,0.6451136160641343,0.7631999999999999,-6.62169
DeepICL,32,0.5375216135283063,0.8207,-8.82234
DeepICL,33,0.6335252627099972,0.8005,-6.971480000000001
DeepICL,34,0.562056084167407,0.7106060606060606,-8.368838383838384
DeepICL,35,0.7042025560011967,0.7989,-7.56897
DeepICL,36,0.442598190298124,0.7081999999999999,-6.05953
DeepICL,37,0.5495632516386618,0.6781,-8.85527
DeepICL,38,0.6008376769004277,0.7763,-7.1910799999999995
DeepICL,39,0.6174527327017241,0.8112999999999999,-2.26955
DeepICL,40,0.6498909360477215,0.7008,-11.61758
DeepICL,41,0.6342141794423891,0.7680808080808081,-6.425959595959595
DeepICL,42,0.6314664965837725,0.8079000000000001,-8.26764
DeepICL,43,0.5946055405303925,0.8073,-8.38981
DeepICL,44,0.6369231516698837,0.8072,-5.54528
DeepICL,45,0.5983663326320996,0.732,-8.00921
DeepICL,46,0.5506051444947195,0.775,-7.37898
DeepICL,47,0.4190919100321352,0.743157894736842,-5.776894736842105
DeepICL,48,0.6752495209201776,0.792,-8.00549
