INPUT-MOL-IDX,INPUT-MOL-SMI,GEN-MOL-SMI,LEAVING-FRAG-SMI,INSERTING-FRAG-SMI,PREDICTED-PROB,LOGP,MW,QED,SA
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1nnc2cc(-c3n[nH]c4cc(C#N)ccc34)ccc2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1nnc2cc([16*])ccc2n1,0.00014252254914026707,3.716380000000002,405.13380810000007,0.4896489161836867,2.7031883189870136
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1ncc2cc(-c3n[nH]c4cc(C#N)ccc34)ccc2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1ncc2cc([16*])ccc2n1,0.00014186036423780024,4.321380000000003,404.13855913200007,0.48276286863393875,2.626546780525473
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1ccc2nc(-c3n[nH]c4cc(C#N)ccc34)ccc2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1ccc2nc([14*])ccc2n1,0.00014152708172332495,4.321380000000003,404.13855913200007,0.48276286863393875,2.5751452420639342
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1ccc2cc(-c3n[nH]c4cc(C#N)ccc34)ncc2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1cc2ccc([14*])nc2cn1,0.00014132569776847959,4.321380000000003,404.13855913200007,0.48276286863393875,2.6973498574485504
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1cc2ccc(-c3n[nH]c4cc(C#N)ccc34)cn2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1cc2ccc([16*])cn2n1,0.00014118764374870807,4.025880000000003,392.13855913200007,0.5019650904032364,2.8350915393694898
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1cc2ccc(-c3n[nH]c4cc(C#N)ccc34)nc2cn1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1cc2ccc([14*])nc2cn1,0.00014115152589511126,4.321380000000003,404.13855913200007,0.48276286863393875,2.6783144728331667
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1cc2ccc(-c3n[nH]c4cc(C#N)ccc34)cc2nn1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1cc2ccc([16*])cc2nn1,0.00014093569188844413,4.321380000000003,404.13855913200007,0.48276286863393875,2.679363703602398
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1nc2ccc(-c3n[nH]c4cc(C#N)ccc34)cn2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1nc2ccc([16*])cn2n1,0.00014066501171328127,3.4208800000000013,393.1338081000001,0.505850336728003,2.8120846428177657
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1ccc2nc(-c3n[nH]c4cc(C#N)ccc34)cnc2n1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1cnc2nc([14*])ccc2n1,0.00014031938917469233,3.716380000000002,405.1338081000001,0.4896489161836867,2.760848318987012
0,CN(C(=O)c1ccccc1)c1ccc2[nH]c(-c3n[nH]c4cc(C#N)ccc34)cc2n1,CN(C(=O)c1ccccc1)c1ncc(-c2ccc(-c3n[nH]c4cc(C#N)ccc34)nc2)[nH]1,[14*]c1ccc2[nH]c([14*])cc2n1,[14*]c1ccc(-c2cnc([14*])[nH]2)cn1,0.00014024942356627434,4.163280000000003,419.1494581640001,0.45385051370278173,2.8594034297408495
